course_code,courses,year,sem,credits,course_description,pname,plink,
ME1202,Workshop Practice,1,2,1,"Practical training in basic engineering skills, including machining, welding, and assembly techniques.",,,
AI1203,Earth & Environmental Sciences,1,2,2,"Explores the structure and composition of the Earth, environmental systems, and the impact of human activities on natural processes.",Venkata Dilip P,https://www.mahindrauniversity.edu.in/faculty/venkata-dilip-kumar-pasupuleti/, 
CS1203,Discrete Maths,1,2,2,"Covers foundational topics in discrete mathematics, such as logic, set theory, combinatorics, graph theory, and algorithms.",,,
HS1202,Entrepreneurship Practice,1,2,1,"Practical course focused on developing entrepreneurial skills, business planning, and the execution of business ideas.",Abhinav Chaturvedi,https://www.mahindrauniversity.edu.in/faculty/abhinav-chaturvedi/,
HS1204,Professional Ethics,1,2,1,"Examines ethical theories and their application to professional conduct, focusing on integrity, responsibility, and ethical decision-making in various professions.",Vegitha Reddy,https://www.mahindrauniversity.edu.in/faculty/dr-vegitha-reddy/,
HS1203,French,1,2,0.5,"Basic course in French language, emphasizing conversational skills, vocabulary, and introductory grammar.",Nidhi Gupta,https://www.mahindrauniversity.edu.in/faculty/nidhi-gupta/,
MA2103,Maths-3,2,1,4,"This course typically covers advanced calculus, differential equations, and linear algebra, focusing on their applications in engineering and science. It is designed to provide a strong mathematical foundation for problem-solving in various technical fields.",Biswarup Biswas,https://www.mahindrauniversity.edu.in/faculty/biswarup-biswas/,
PH2102,Physics-2,2,1,5,"This subject deals with advanced topics in physics such as electromagnetism, quantum mechanics, and thermodynamics. It builds upon the fundamentals learned in introductory physics courses to explore more complex physical phenomena.",Kamna Pandey,https://www.mahindrauniversity.edu.in/faculty/kamna-pande/,
CS2104,Data Structures,2,1,5,"This course introduces the fundamental data structures used in computer science, such as arrays, linked lists, stacks, queues, trees, and graphs. It emphasizes the importance of data organization and manipulation for efficient algorithm design and problem-solving.",Bhanu Kiran P,https://www.mahindrauniversity.edu.in/faculty/bhanukiran-perabathini/,
CS2101,Optimization Techniques for AI,2,1,3,"This subject focuses on mathematical optimization methods used in artificial intelligence, including linear programming, convex optimization, and heuristic algorithms. It aims to equip students with the tools to improve AI model performance and efficiency.",Arun Kumar Pujari,https://www.mahindrauniversity.edu.in/faculty/arun-k-pujari/,
EE2101,Signals & Systems,2,1,4,"This course explores the analysis and processing of signals and the behavior of systems that produce and modify signals. Topics include Fourier transforms, Laplace transforms, and system response, with applications in communication and control systems.",Sayantan Hazra,https://www.mahindrauniversity.edu.in/faculty/sayantan-hazra/,
CS2106,Programming Workshop,2,1,0.5,"This practical course offers hands-on experience in programming, focusing on coding skills, debugging, and software development. It typically includes projects and exercises to reinforce learning and application of programming concepts.",Sanatan Sukhija,https://www.mahindrauniversity.edu.in/faculty/sanatan-sukhija/,
HS2101,Lean Start-up,2,1,1,"This subject teaches the principles of the lean start-up methodology, which emphasizes rapid prototyping, validated learning, and iterative product development. It aims to help aspiring entrepreneurs build successful startups with minimal resources.",Abhinav Chaturvedi,https://www.mahindrauniversity.edu.in/faculty/abhinav-chaturvedi/,
HS2102,Economics,2,1,1.5,"This course covers fundamental economic principles, including microeconomics and macroeconomics. Topics include supply and demand, market structures, economic policies, and their impact on individuals and businesses.",Samyuktha B,,
HS2103,French,2,1,0.5,"This language course focuses on developing proficiency in French, covering speaking, listening, reading, and writing skills. It also includes an introduction to French culture and society.",Balaji Prashanth B,https://www.mahindrauniversity.edu.in/faculty/bandari-balaji-prashanth/,
MA2208,Maths-4,2,2,4,"This advanced mathematics course often covers topics such as complex analysis, numerical methods, and partial differential equations. It aims to deepen mathematical knowledge and enhance analytical skills for solving complex problems.",Satyanarayana Chirala ,https://www.mahindrauniversity.edu.in/faculty/chirala-satyanarayana/,
CS2201,Digital Logic Design & Computer Architecture,2,2,4,"This subject explores the principles of digital circuits, logic design, and the architecture of computer systems. Key topics include Boolean algebra, sequential logic, memory systems, and processor design.",Pooran Singh,https://www.mahindrauniversity.edu.in/faculty/pooran-singh/,
AI2203,Artificial & Computational Intelligence,2,2,4,"This course introduces fundamental concepts and techniques in artificial intelligence and computational intelligence, such as neural networks, genetic algorithms, and fuzzy logic. It focuses on building intelligent systems and solving complex computational problems.",Aryakumar Bhattacharya,https://www.mahindrauniversity.edu.in/faculty/arya-kumar-bhattacharya/,
CS2204,Theory of Computing,2,2,3,"This subject delves into the theoretical foundations of computer science, including automata theory, formal languages, and computational complexity. It aims to provide a rigorous understanding of what can be computed and the resources required.",Rajesh Tava,https://mahindrauniversity.edu.in/faculty/rajesh-tavva/,
CS2202,Machine Learning,2,2,4,"This course covers the principles and algorithms of machine learning, including supervised and unsupervised learning, reinforcement learning, and neural networks. It emphasizes practical applications and hands-on experience with real-world data.",Sanatan Sukhija,https://www.mahindrauniversity.edu.in/faculty/sanatan-sukhija/,
CS2205,Programming Workshop,2,2,0.5,"This practical course offers hands-on experience in programming, focusing on coding skills, debugging, and software development. It typically includes projects and exercises to reinforce learning and application of programming concepts.",Sowmini Veeramachineni,https://www.mahindrauniversity.edu.in/faculty/sowmini-devi-veeramachaneni/,
HS2201,Design Thinking,2,2,2,"This subject teaches the iterative process of design thinking, which involves empathy, ideation, prototyping, and testing. It aims to foster creative problem-solving skills and innovative thinking for product and service development.",Ani Thomas,https://www.mahindrauniversity.edu.in/faculty/ani-thomas/,
HS2202,Financial Accounting,2,2,1.5,"This course introduces the principles and practices of financial accounting, including recording, summarizing, and reporting financial transactions. It covers key concepts such as the accounting cycle, financial statements, and generally accepted accounting principles (GAAP).",Augustin Paul K,,
HS2204,French,2,2,0.5,"This language course focuses on developing proficiency in French, covering speaking, listening, reading, and writing skills. It also includes an introduction to French culture and society.",Nidhi Gupta,https://www.mahindrauniversity.edu.in/faculty/nidhi-gupta/,
CS3101,Design Analysis and Algorithms,3,1,4," This course focuses on the design, analysis, and implementation of algorithms, covering concepts such as time complexity, space complexity, and algorithmic paradigms like divide-and-conquer, dynamic programming, and greedy algorithms. It aims to equip students with techniques for solving computational problems efficiently.",Tauheed Ahmed,https://www.mahindrauniversity.edu.in/faculty/tauheed-ahmed/,
CS3105,Object Oriented Programming,3,1,3,"This subject introduces the principles of object-oriented programming (OOP) using languages such as Java or C++. Key topics include classes, objects, inheritance, polymorphism, and encapsulation, with an emphasis on designing reusable and modular software.",Rahul Roy,https://www.mahindrauniversity.edu.in/faculty/rahul-roy/,
CS3102,Operating Systems,3,1,4,"This course covers the fundamental concepts and functions of operating systems, including process management, memory management, file systems, and concurrency. It aims to provide an understanding of how operating systems manage hardware resources and support application software.",Shabnam Samima,https://www.mahindrauniversity.edu.in/faculty/shabnam-samima/,
CS3103,Database Management Systems,3,1,4,"This subject explores the principles of database design, implementation, and management, focusing on relational database systems. Topics include SQL, normalization, transaction management, and database security, with practical experience in database development and querying.",Prafulla Kalapatapu,https://www.mahindrauniversity.edu.in/faculty/prafulla-kalapatapu/,
CS3106,Microprocessors & Interfacing,3,1,3,"This course delves into the architecture, programming, and interfacing of microprocessors and microcontrollers. It includes topics such as assembly language programming, input/output interfacing, and the integration of microprocessors with peripheral devices.",Praveen Kumar A,https://www.mahindrauniversity.edu.in/faculty/dr-praveen-kumar-alapati/,
CS3104,Programming Workshop,3,1,1,"This practical course offers hands-on experience in programming, focusing on coding skills, debugging, and software development. It typically includes projects and exercises to reinforce learning and application of programming concepts.",Swapna,https://www.mahindrauniversity.edu.in/faculty/s-swapna/,
HS3103,HSS Elective,3,1,2,"The Humanities and Social Sciences (HSS) elective offers a range of subjects aimed at broadening students' perspectives beyond technical and scientific knowledge. Topics may include philosophy, sociology, psychology, literature, or history, fostering critical thinking and cultural awareness.",Monali Sahu Pathange,https://www.mahindrauniversity.edu.in/faculty/dr-monali-sahu-pathange/,
PR3201,3rd Year Project,3,2,2,"This project involves a significant research or development task, typically undertaken by students in their third year of study. It provides practical experience in applying theoretical knowledge to real-world problems, often culminating in a presentation and report.",,,
CS3201,Big Data,3,2,3,"This course covers the principles and technologies involved in managing and analyzing large datasets. Topics include Hadoop, Spark, data mining, and visualization, focusing on extracting meaningful insights from vast amounts of data.",Rahul Roy,https://www.mahindrauniversity.edu.in/faculty/rahul-roy/,
CS3203,Computer Networks,3,2,4,"This subject explores the fundamentals of computer networking, including network architectures, protocols, and technologies. Key topics include the OSI model, TCP/IP, routing, switching, and network security.",Veeraiah T,https://www.mahindrauniversity.edu.in/faculty/veeraiah-thalagondpati/,
CS3202,High Performance Computing,3,2,3,"This course focuses on the design and implementation of computing systems that can handle intensive computational tasks. Topics include parallel computing, distributed systems, and optimization techniques for achieving high performance.",Praveen Kumar A,https://www.mahindrauniversity.edu.in/faculty/dr-praveen-kumar-alapati/,
CS3204,Software Engineering,3,2,3,"This subject introduces the methodologies and practices of software development, including requirements analysis, design, implementation, testing, and maintenance. It emphasizes the importance of software project management and quality assurance.",Raghu Kishore N,https://www.mahindrauniversity.edu.in/faculty/n-raghu-kisore/,
AI3205,AI Elective,3,2,3,"This elective covers advanced topics in artificial intelligence, which may include deep learning, natural language processing, computer vision, or other specialized areas. It aims to provide in-depth knowledge and practical skills in a specific AI domain.",Raja Rao Triupraneni,https://www.mahindrauniversity.edu.in/faculty/dr-raja-rao-tripuraneni/,
EC3211,Open Elective,3,2,3,"This elective allows students to choose from a wide range of subjects outside their core curriculum, enabling them to explore diverse interests and gain interdisciplinary knowledge.",Nidhi Goyal,https://www.mahindrauniversity.edu.in/faculty/nidhi-goyal/,
HS3201,Intro to Professional Development,3,2,2,"This course focuses on developing essential professional skills such as communication, teamwork, leadership, and ethics. It prepares students for the transition from academic to professional life.",Pankaj Narke,https://www.mahindrauniversity.edu.in/faculty/pankaj-narke/,
HS3010,HSS Elective,3,2,2,"The Humanities and Social Sciences (HSS) elective offers a range of subjects aimed at broadening students' perspectives beyond technical and scientific knowledge. Topics may include philosophy, sociology, psychology, literature, or history, fostering critical thinking and cultural awareness.",Salome B,https://www.mahindrauniversity.edu.in/faculty/salome-benhur/,
PR4102,Final Year Project,4,1,3,"This capstone project involves a significant research or development task, typically undertaken by students in their final year. It requires applying comprehensive knowledge and skills to solve complex problems, often culminating in a detailed report and presentation.",,,
CS4102,Compiler Design,4,1,3,"This course explores the principles of designing and implementing compilers, covering topics such as lexical analysis, syntax analysis, semantic analysis, optimization, and code generation. It provides practical experience in building a working compiler.",Sowmini Veeramachineni,https://www.mahindrauniversity.edu.in/faculty/sowmini-devi-veeramachaneni/,
CS4101,Distributed Systems,4,1,4,"This subject covers the concepts and architectures of distributed computing systems, including communication, synchronization, fault tolerance, and scalability. It aims to provide an understanding of how to design and manage distributed applications.",Satish Chandra,https://www.mahindrauniversity.edu.in/faculty/satish-chandra/,
CS4103,Cryptography & Network Security,4,1,4,"This course introduces the principles of cryptography and its applications in securing network communications. Topics include encryption algorithms, public key infrastructure, digital signatures, and protocols for secure communication.",Raghu Kishore N,https://www.mahindrauniversity.edu.in/faculty/n-raghu-kisore/,
ME4065,Open Elective-1,4,1,3,"This elective allows students to choose from a variety of subjects outside their core curriculum, enabling them to explore diverse interests and gain interdisciplinary knowledge.",,,
MA4124,Open Elective-2,4,1,3,"This elective provides students with the opportunity to select courses from different disciplines, fostering a well-rounded educational experience.",,,
HS4110,HSS Elective,4,1,2, The Humanities and Social Sciences (HSS) elective offers a range of subjects aimed at broadening students' perspectives beyond technical and scientific knowledge. ,,,
PR4203,Final Year Project,4,2,10,"This capstone project involves a significant research or development task, typically undertaken by students in their final year. It requires applying comprehensive knowledge and skills to solve complex problems, often culminating in a detailed report and presentation.",,,
MA4225,Open Elective-1,4,2,3,"This elective allows students to choose from a variety of subjects outside their core curriculum, enabling them to explore diverse interests and gain interdisciplinary knowledge.",,,
MA4228,Open Elective-2,4,2,3,"This elective provides students with the opportunity to select courses from different disciplines, fostering a well-rounded educational experience.",,,
